,date,open,high,low,close,volume
1267,2022-06-21,20555.44,21708.76,20332.07,20712.29,3543.16812013
1268,2022-06-22,20710.01,20863.44,19743.99,19963.68,4210.49538322
1269,2022-06-23,19977.24,21204.14,19869.63,21093.42,2677.89902823
1270,2022-06-24,21102.75,21538.4,20713.77,21215.42,2444.77217091
1271,2022-06-25,21229.66,21586.67,20890.0,21486.8,1196.38466227
1272,2022-06-26,21486.67,21868.0,20968.85,21028.69,1437.60709463
1273,2022-06-27,21029.19,21516.85,20491.28,20699.72,1648.58803237
1274,2022-06-28,20722.27,21178.73,20176.0,20261.34,2048.6845194
1275,2022-06-29,20253.88,20398.99,19827.0,20093.18,1605.32356204
1276,2022-06-30,20098.0,20131.06,18595.6,19924.89,4907.84854025
1277,2022-07-01,19960.61,20895.08,18944.69,19239.47,4424.08855864
1278,2022-07-02,19263.41,19425.08,18960.0,19228.25,1478.97411836
1279,2022-07-03,19232.76,19616.43,18763.96,19294.46,1438.93649433
1280,2022-07-04,19296.88,20319.88,19032.44,20209.53,2016.0820069
1281,2022-07-05,20209.02,20720.0,19281.82,20168.63,2882.22647228
1282,2022-07-06,20164.65,20648.76,19750.16,20547.45,2093.38193195
1283,2022-07-07,20546.29,21847.25,20237.58,21643.56,3422.57159508
1284,2022-07-08,21620.85,22401.0,21164.07,21584.14,3352.94753796
1285,2022-07-09,21592.69,21955.18,21311.36,21588.35,865.38701575
1286,2022-07-10,21581.98,21593.73,20629.99,20856.08,1398.91806277
1287,2022-07-11,20851.14,20858.75,19869.0,19949.71,1381.03847332
1288,2022-07-12,19948.55,20036.24,19237.42,19321.14,1738.03082444
1289,2022-07-13,19337.91,20367.88,18905.55,20232.35,3196.86413812
1290,2022-07-14,20225.24,20880.0,19608.47,20577.23,2574.75885317
1291,2022-07-15,20569.17,21186.35,20368.7,20835.39,1581.8301293
1292,2022-07-16,20823.7,21577.0,20472.68,21195.49,1740.63926769
1293,2022-07-17,21198.34,21664.52,20751.08,20801.85,1497.20354125
